Class	Caption	Summary
939	Other parts of ancient world to ca. 640	3
940	History of Europe	3
941	British Isles	3
942	England & Wales	3
943	Central Europe; Germany	3
944	France & Monaco	3
945	Italian Peninsula & adjacent islands	3
946	Iberian Peninsula & adjacent islands	3
947	Eastern Europe; Russia	3
948	Scandinavia	3
949	Other parts of Europe	3
950	History of Asia; Far East	3
951	China & adjacent areas	3
952	Japan	3
953	Arabian Peninsula & adjacent areas	3
954	South Asia; India	3
955	Iran	3
956	Middle East (Near East)	3
957	Siberia (Asiatic Russia)	3
958	Central Asia	3
959	Southeast Asia	3
960	History of Africa	3
961	Tunisia & Libya	3
962	Egypt & Sudan	3
963	Ethiopia & Eritrea	3
964	Northwest African coast & offshore islands	3
965	Algeria	3
966	West Africa & offshore islands	3
967	Central Africa & offshore islands	3
968	Southern Africa; Republic of South Africa	3
969	South Indian Ocean islands	3
970	History of North America	3
971	Canada	3
972	Middle America; Mexico	3
973	United States	3
974	Northeastern United States	3
975	Southeastern United States	3
976	South central United States	3
977	North central United States	3
978	Western United States	3
979	Great Basin & Pacific Slope region	3
980	History of South America	3
981	Brazil	3
982	Argentina	3
983	Chile	3
984	Bolivia	3
985	Peru	3
986	Colombia & Ecuador	3
987	Venezuela	3
988	Guiana	3
989	Paraguay & Uruguay	3
990	History of other areas	3
991	[Unassigned]	3
992	[Unassigned]	3
993	New Zealand	3
994	Australia	3
995	Melanesia; New Guinea	3
996	Other parts of Pacific; Polynesia	3
997	Atlantic Ocean islands	3
998	Arctic islands & Antarctica	3
999	Extraterrestrial worlds	3
