Class	Caption	Summary
315	General statistics of Asia	3
316	General statistics of Africa	3
317	General statistics of North America	3
318	General statistics of South America	3
319	General statistics of other areas	3
320	Political science	3
321	Systems of governments & states	3
322	Relation of state to organized groups	3
323	Civil & political rights	3
324	The political process	3
325	International migration & colonization	3
326	Slavery & emancipation	3
327	International relations	3
328	The legislative process	3
329	[Unassigned]	3
330	Economics	3
331	Labor economics	3
332	Financial economics	3
333	Economics of land & energy	3
334	Cooperatives	3
335	Socialism & related systems	3
336	Public finance	3
337	International economics	3
338	Production	3
339	Macroeconomics & related topics	3
340	Law	3
341	Law of nations	3
342	Constitutional & administrative law	3
343	"Military, tax, trade & industrial law"	3
344	"Labor, social, education & cultural law"	3
345	Criminal law	3
346	Private law	3
347	Civil procedure & courts	3
348	"Laws, regulations & cases"	3
349	Law of specific jurisdictions & areas	3
350	Public administration & military science	3
351	Public administration	3
352	General considerations of public administration	3
353	Specific fields of public administration	3
354	Administration of economy & environment	3
355	Military science	3
356	Infantry forces & warfare	3
357	Mounted forces & warfare	3
358	Air & other specialized forces	3
359	Sea forces & warfare	3
360	Social problems & services; associations	3
361	Social problems & social welfare in general	3
362	Social welfare problems & services	3
363	Other social problems & services	3
364	Criminology	3
365	Penal & related institutions	3
366	Associations	3
367	General clubs	3
368	Insurance	3
369	Miscellaneous kinds of associations	3
370	Education	3
371	Schools & their activities; special education	3
372	Elementary education	3
373	Secondary education	3
374	Adult education	3
375	Curricula	3
376	[Unassigned]	3
377	[Unassigned]	3
378	Higher education	3
379	Public policy issues in education	3
380	"Commerce, communications & transportation"	3
381	Commerce	3
382	International commerce	3
383	Postal communication	3
384	Communications; telecommunication	3
385	Railroad transportation	3
386	Inland waterway & ferry transportation	3
387	"Water, air & space transportation"	3
388	Transportation; ground transportation	3
389	Metrology & standardization	3
390	"Customs, etiquette & folklore"	3
391	Costume & personal appearance	3
392	Customs of life cycle & domestic life	3
393	Death customs	3
394	General customs	3
395	Etiquette (Manners)	3
396	[Unassigned]	3
397	[Unassigned]	3
398	Folklore	3
399	Customs of war & diplomacy	3
400	Language	3
401	Philosophy & theory	3
402	Miscellany	3
403	Dictionaries & encyclopedias	3
404	Special topics	3
405	Serial publications	3
406	Organizations & management	3
407	"Education, research & related topics"	3
408	Kinds of persons treatment	3
409	Geographic & persons treatment	3
410	Linguistics	3
411	Writing systems	3
412	Etymology	3
413	Dictionaries	3
414	Phonology & phonetics	3
415	Grammar	3
416	[Unassigned]	3
417	Dialectology & historical linguistics	3
418	Standard usage & applied linguistics	3
419	Sign languages	3
420	English & Old English	3
421	English writing system & phonology	3
422	English etymology	3
423	English dictionaries	3
424	[Unassigned]	3
425	English grammar	3
426	[Unassigned]	3
427	English language variations	3
428	Standard English usage	3
429	Old English (Anglo-Saxon)	3
430	Germanic languages; German	3
431	German writing systems & phonology	3
432	German etymology	3
433	German dictionaries	3
434	[Unassigned]	3
435	German grammar	3
436	[Unassigned]	3
437	German language variations	3
438	Standard German usage	3
439	Other Germanic languages	3
440	Romance languages; French	3
441	French writing systems & phonology	3
442	French etymology	3
443	French dictionaries	3
444	[Unassigned]	3
445	French grammar	3
446	[Unassigned]	3
447	French language variations	3
448	Standard French usage	3
449	Occitan & Catalan	3
450	"Italian, Romanian & related languages"	3
451	Italian writing systems & phonology	3
452	Italian etymology	3
453	Italian dictionaries	3
454	[Unassigned]	3
455	Italian grammar	3
456	[Unassigned]	3
457	Italian language variations	3
458	Standard Italian usage	3
459	Romanian & related languages	3
460	Spanish & Portuguese languages	3
461	Spanish writing systems & phonology	3
462	Spanish etymology	3
463	Spanish dictionaries	3
464	[Unassigned]	3
465	Spanish grammar	3
466	[Unassigned]	3
467	Spanish language variations	3
468	Standard Spanish usage	3
469	Portuguese	3
470	Italic languages; Latin	3
